"prefix","digits","label"
"ST",0,"Statewide"
"MT",4,"Metropolitan areas"
"DV",5,"Metropolitan divisions"
"MC",4,"Micropolitan areas"
"CA",3,"Combined areas"
"CN",3,"Counties and equivalents"
"CS",5,"Cities and towns above 25,000 population"
"CT",5,"Cities and towns above 25,000 population"
"PT",8,"Parts of cities that cross county boundaries"
"SA",4,"Multi - entity small labor market areas"
"ID",5,"Intrastate parts of interstate areas"
"IM",4,"Intrastate parts of interstate areas"
"IS",4,"Intrastate parts of interstate areas"
"BS",0,"Balance of state areas"
"RD",0,"Census regions"
