Race,Ethnicity,Race/Ethnicity
American Indian or Alaska Native,Hispanic or Latino,All Other Races
American Indian or Alaska Native,Not Hispanic or Latino,All Other Races
Asian,Hispanic or Latino,All Other Races
Asian,No Response,All Other Races
Asian,Not Hispanic or Latino,All Other Races
Black or African American,Hispanic or Latino,Black
Black or African American,No Response,Black
Black or African American,Not Hispanic or Latino,Black
Native Hawaiian or Other Pacific Islander,No Response,All Other Races
Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,All Other Races
No Response,Hispanic or Latino,Latin@
No Response,No Response,All Other Races
No Response,Not Hispanic or Latino,All Other Races
Two or More Races,Hispanic or Latino,Latin@
Two or More Races,No Response,All Other Races
Two or More Races,Not Hispanic or Latino,All Other Races
White,Hispanic or Latino,Latin@
White,No Response,White
White,Not Hispanic or Latino,White
